fight_link,date,location,method,round,time,time_format,referee,details,name_1,name_2,stage_name_1,stage_name_2,win_loss_1,win_loss_2,kd_1,kd_2,sig_str_1,sig_str_2,total_str_1,total_str_2
http://ufcstats.com/fight-details/01993fb1d4b34b21,"November 10, 2012","Macau, China",Decision - Split,3,5:00,3 Rnd (5-5-5),Marc Goddard,,Alex Caceres,Motonobu Tezuka,"""Bruce Leeroy""",,W,L,0,0,64 of 124,22 of 75,83 of 143,40 of 108
http://ufcstats.com/fight-details/dd440cb166329a82,"November 10, 2012","Macau, China",Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,,Riki Fukuda,Tom DeBlass,,,W,L,0,0,85 of 164,44 of 120,229 of 325,67 of 144
http://ufcstats.com/fight-details/1a113ac3255f3ac3,"November 10, 2012","Macau, China",KO/TKO,1,2:17,5 Rnd (5-5-5-5-5),Marc Goddard,Punch to Head At Distance,Rich Franklin,Cung Le,"""Ace""",,L,W,0,1,12 of 21,8 of 16,12 of 21,8 of 16
http://ufcstats.com/fight-details/dd875196c446fdf0,"November 10, 2012","Macau, China",Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,,Dong Hyun Kim,Paulo Thiago,"""Stun Gun""",,W,L,0,0,22 of 40,2 of 10,76 of 104,4 of 12
http://ufcstats.com/fight-details/b79a0b9c1f729c0d,"November 10, 2012","Macau, China",Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Steve Perceval,,Yasuhiro Urushitani,John Lineker,,"""Hands of Stone""",L,W,0,0,62 of 158,77 of 224,62 of 158,79 of 226
http://ufcstats.com/fight-details/8d556e2826924946,"November 10, 2012","Macau, China",Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,,Zhang Tiequan,Jon Tuck,"""The Wolf""","""Super Saiyan""",L,W,0,0,40 of 93,36 of 82,46 of 102,91 of 145
http://ufcstats.com/fight-details/e881ba0a28fffb6e,"November 10, 2012","Macau, China",Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Steve Perceval,,Takeya Mizugaki,Jeff Hougland,,"""Hellbound""",W,L,0,0,63 of 112,14 of 25,103 of 164,73 of 89
http://ufcstats.com/fight-details/d9df78e82953bfe5,"October 13, 2012","Rio de Janeiro, Brazil",Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,,Luiz Cane,Chris Camozzi,"""Banha""",,L,W,0,0,55 of 133,97 of 269,64 of 142,97 of 269
http://ufcstats.com/fight-details/0fad42b9ab3f31be,"November 10, 2012","Macau, China",Decision - Split,3,5:00,3 Rnd (5-5-5),Steve Perceval,,Takanori Gomi,Mac Danzig,"""The Fireball Kid""",,W,L,1,0,54 of 140,64 of 122,88 of 175,95 of 155
http://ufcstats.com/fight-details/eaa0355223b770dc,"October 13, 2012","Rio de Janeiro, Brazil",Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Fernando Yamasaki,,Diego Brandao,Joey Gambino,"""DB""","""The Raging Warrior""",W,L,1,0,33 of 77,39 of 109,84 of 133,59 of 129
