fight_link,date,location,method,round,time,time_format,referee,details,name_1,name_2,stage_name_1,stage_name_2,win_loss_1,win_loss_2,kd_1,kd_2,sig_str_1,sig_str_2,total_str_1,total_str_2,sig_str_landed_1,sig_str_attempted_1,total_str_landed_1,total_str_attempted_1,sig_str_landed_2,sig_str_attempted_2,total_str_landed_2,total_str_attempted_2,sig_str_accuracy_1,total_str_accuracy_1,sig_str_accuracy_2,total_str_accuracy_2,winner,fight_time_seconds,total_fight_time_seconds
http://ufcstats.com/fight-details/b0cb6a1da8e0da81,2015-07-18,"Glasgow, Scotland, United Kingdom",KO/TKO,1,0:56,3 Rnd (5-5-5),Grant Waterman,Punch to Head At Distance,Ilir Latifi,Hans Stringer,"""The Sledgehammer""",,W,L,1,0,7 of 9,2 of 5,7 of 9,2 of 5,7,9,7,9,2,5,2,5,0.7777777777777778,0.7777777777777778,0.4,0.4,Ilir Latifi,56,56
http://ufcstats.com/fight-details/c7780ac294530c0d,2015-07-18,"Glasgow, Scotland, United Kingdom",Submission,1,3:05,3 Rnd (5-5-5),Neil Hall,Triangle Choke On Ground,Joe Duffy,Ivan Jorge,"""Irish""","""Batman""",W,L,0,0,8 of 29,7 of 15,10 of 31,13 of 23,8,29,10,31,7,15,13,23,0.27586206896551724,0.3225806451612903,0.4666666666666667,0.5652173913043478,Joe Duffy,185,185
http://ufcstats.com/fight-details/979538ff8ae1ccd5,2015-07-18,"Glasgow, Scotland, United Kingdom",Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Leon Roberts,,Leon Edwards,Pawel Pawlak,"""Rocky""",,W,L,1,0,36 of 71,24 of 78,73 of 110,65 of 120,36,71,73,110,24,78,65,120,0.5070422535211268,0.6636363636363637,0.3076923076923077,0.5416666666666666,Leon Edwards,300,900
http://ufcstats.com/fight-details/959de17703476f44,2015-08-01,"Rio de Janeiro, Rio de Janeiro, Brazil",KO/TKO,2,2:38,3 Rnd (5-5-5),Herb Dean,Elbows to Head From Side Control,Vitor Miranda,Clint Hester,"""Lex Luthor""","""Headbussa""",W,L,0,0,57 of 75,15 of 34,95 of 114,20 of 39,57,75,95,114,15,34,20,39,0.76,0.8333333333333334,0.4411764705882353,0.5128205128205128,Vitor Miranda,158,458
http://ufcstats.com/fight-details/d45474993a750878,2015-07-18,"Glasgow, Scotland, United Kingdom",Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Grant Waterman,,Joanne Wood,Cortney Casey,"""JoJo""","""Cast Iron""",W,L,1,0,90 of 140,57 of 92,227 of 303,106 of 147,90,140,227,303,57,92,106,147,0.6428571428571429,0.7491749174917491,0.6195652173913043,0.7210884353741497,Joanne Wood,300,900
http://ufcstats.com/fight-details/7c9830ee4835f757,2015-08-01,"Rio de Janeiro, Rio de Janeiro, Brazil",Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Osiris Maia,,Iuri Alcantara,Leandro Issa,"""Marajo""","""Brodinho""",W,L,0,0,53 of 101,26 of 55,65 of 114,37 of 70,53,101,65,114,26,55,37,70,0.5247524752475248,0.5701754385964912,0.4727272727272727,0.5285714285714286,Iuri Alcantara,300,900
http://ufcstats.com/fight-details/0b8fdeeb626b4396,2015-07-18,"Glasgow, Scotland, United Kingdom",Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,,Ross Pearson,Evan Dunham,"""The Real Deal""",,L,W,0,0,16 of 28,26 of 48,47 of 67,88 of 119,16,28,47,67,26,48,88,119,0.5714285714285714,0.7014925373134329,0.5416666666666666,0.7394957983193278,Evan Dunham,300,900
http://ufcstats.com/fight-details/2e47823d38a5649b,2015-07-18,"Glasgow, Scotland, United Kingdom",Decision - Split,5,5:00,5 Rnd (5-5-5-5-5),Leon Roberts,,Michael Bisping,Thales Leites,"""The Count""",,W,L,0,0,115 of 277,79 of 194,117 of 281,80 of 197,115,277,117,281,79,194,80,197,0.4151624548736462,0.41637010676156583,0.4072164948453608,0.40609137055837563,Michael Bisping,300,1500
http://ufcstats.com/fight-details/2116affb9c8f193b,2015-08-01,"Rio de Janeiro, Rio de Janeiro, Brazil",KO/TKO,3,0:45,3 Rnd (5-5-5),Mario Yamasaki,Elbows to Head From Guard,Rafael Cavalcante,Patrick Cummins,"""Feijao""","""Durkin""",L,W,0,0,23 of 45,49 of 92,24 of 47,102 of 162,23,45,24,47,49,92,102,162,0.5111111111111111,0.5106382978723404,0.532608695652174,0.6296296296296297,Patrick Cummins,45,645
http://ufcstats.com/fight-details/f7ffa11d592f4092,2015-08-01,"Rio de Janeiro, Rio de Janeiro, Brazil",Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Osiris Maia,,Hugo Viana,Guido Cannetti,"""Wolverine""","""Ninja""",L,W,0,0,13 of 38,32 of 51,42 of 68,47 of 67,13,38,42,68,32,51,47,67,0.34210526315789475,0.6176470588235294,0.6274509803921569,0.7014925373134329,Guido Cannetti,300,900
http://ufcstats.com/fight-details/17daeb7e36e60cdf,2015-08-01,"Rio de Janeiro, Rio de Janeiro, Brazil",Submission,2,2:52,3 Rnd (5-5-5),Herb Dean,Rear Naked Choke,Demian Maia,Neil Magny,,"""The Haitian Sensation""",W,L,0,0,13 of 17,0 of 4,56 of 68,11 of 16,13,17,56,68,0,4,11,16,0.7647058823529411,0.8235294117647058,0.0,0.6875,Demian Maia,172,472
http://ufcstats.com/fight-details/72330020a732c635,2015-08-01,"Rio de Janeiro, Rio de Janeiro, Brazil",Submission,2,4:11,3 Rnd (5-5-5),John McCarthy,Guillotine Choke After Drop to Guard,Warlley Alves,Nordine Taleb,,,W,L,0,0,17 of 38,17 of 34,23 of 46,30 of 47,17,38,23,46,17,34,30,47,0.4473684210526316,0.5,0.5,0.6382978723404256,Warlley Alves,251,551
http://ufcstats.com/fight-details/8baa6b8850262595,2015-08-01,"Rio de Janeiro, Rio de Janeiro, Brazil",KO/TKO,2,0:41,3 Rnd (5-5-5),John McCarthy,Punches to Head At Distance,Antonio Silva,Soa Palelei,"""Bigfoot""","""The Hulk""",W,L,1,0,16 of 28,19 of 35,29 of 43,46 of 65,16,28,29,43,19,35,46,65,0.5714285714285714,0.6744186046511628,0.5428571428571428,0.7076923076923077,Antonio Silva,41,341
http://ufcstats.com/fight-details/b0367c907cc549c0,2015-08-01,"Rio de Janeiro, Rio de Janeiro, Brazil",Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,,Stefan Struve,Antonio Rodrigo Nogueira,"""Skyscraper""","""Minotauro""",W,L,0,0,93 of 156,59 of 113,94 of 157,84 of 138,93,156,94,157,59,113,84,138,0.5961538461538461,0.5987261146496815,0.5221238938053098,0.6086956521739131,Stefan Struve,300,900
http://ufcstats.com/fight-details/0bf405dabb25251a,2015-08-01,"Rio de Janeiro, Rio de Janeiro, Brazil",Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mario Yamasaki,,Claudia Gadelha,Jessica Aguilar,"""Claudinha""","""Jag""",W,L,0,0,111 of 248,70 of 189,121 of 263,88 of 210,111,248,121,263,70,189,88,210,0.4475806451612903,0.4600760456273764,0.37037037037037035,0.41904761904761906,Claudia Gadelha,300,900
http://ufcstats.com/fight-details/aa62b8f58fc09790,2015-08-01,"Rio de Janeiro, Rio de Janeiro, Brazil",Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mario Yamasaki,,Mauricio Rua,Rogerio Nogueira,"""Shogun""","""Minotouro""",W,L,0,0,53 of 98,63 of 166,82 of 130,73 of 177,53,98,82,130,63,166,73,177,0.5408163265306123,0.6307692307692307,0.3795180722891566,0.4124293785310734,Mauricio Rua,300,900
http://ufcstats.com/fight-details/0c618cd41b88c558,2018-09-22,"Sao Paulo, Sao Paulo, Brazil",Submission,1,4:55,3 Rnd (5-5-5),Camila Albuquerque,Armbar From Bottom Guard,Mayra Bueno Silva,Gillian Robertson,"""Sheetara""","""The Savage""",W,L,0,0,11 of 32,11 of 18,12 of 33,17 of 27,11,32,12,33,11,18,17,27,0.34375,0.36363636363636365,0.6111111111111112,0.6296296296296297,Mayra Bueno Silva,295,295
