fight_link,date,location,method,round,time,time_format,referee,details,name_1,name_2,stage_name_1,stage_name_2,win_loss_1,win_loss_2,kd_1,kd_2,sig_str_1,sig_str_2,total_str_1,total_str_2,sig_str_landed_1,sig_str_attempted_1,total_str_landed_1,total_str_attempted_1,sig_str_landed_2,sig_str_attempted_2,total_str_landed_2,total_str_attempted_2,sig_str_accuracy_1,total_str_accuracy_1,sig_str_accuracy_2,total_str_accuracy_2,winner,fight_time_seconds,total_fight_time_seconds,outcome_category,fighter_1_won,fighter_2_won,sig_strike_diff,total_strike_diff,kd_1_jitter,kd_2_jitter,year,total_fight_time_minutes,country
http://ufcstats.com/fight-details/f9109d1e7c4ff9aa,2014-05-31,"Sao Paulo, Brazil",Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,,Demian Maia,Alexander Yakovlev,,"""Russian Thunder""",W,L,1,0,29 of 73,22 of 43,83 of 128,24 of 45,29,73,83,128,22,43,24,45,0.3972602739726027,0.6484375,0.5116279069767442,0.5333333333333333,Demian Maia,300,900,Decision,1,0,7,59,1.0327370586558964,-0.0028456231919414933,2014,15.0,Brazil
http://ufcstats.com/fight-details/ee0075e188e87e86,2014-05-24,"Las Vegas, Nevada, USA",Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,,Chris Holdsworth,Chico Camus,,"""The King""",W,L,0,0,26 of 88,25 of 59,140 of 225,33 of 67,26,88,140,225,25,59,33,67,0.2954545454545454,0.6222222222222222,0.423728813559322,0.4925373134328358,Chris Holdsworth,300,900,Decision,1,0,1,107,0.005195795645325493,-0.052197275464406535,2014,15.0,USA
http://ufcstats.com/fight-details/8d98ccae1057815e,2014-05-24,"Las Vegas, Nevada, USA",Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,,Sam Sicilia,Aaron Phillips,,"""The Dragon""",W,L,0,0,37 of 68,18 of 40,95 of 129,109 of 137,37,68,95,129,18,40,109,137,0.5441176470588235,0.7364341085271318,0.45,0.7956204379562044,Sam Sicilia,300,900,Decision,1,0,19,-14,0.006164568619544845,-0.03186003318263343,2014,15.0,USA
http://ufcstats.com/fight-details/bd0497a410822291,2014-05-31,"Sao Paulo, Brazil",Submission,3,0:25,3 Rnd (5-5-5),Mario Yamasaki,Guillotine Choke After Drop to Guard,Marcio Alexandre Junior,Warlley Alves,"""Lyoto""",,L,W,0,1,8 of 21,19 of 39,22 of 36,44 of 67,8,21,22,36,19,39,44,67,0.3809523809523809,0.6111111111111112,0.4871794871794871,0.6567164179104478,Warlley Alves,25,625,Submission,0,1,-11,-22,-0.03244242584282481,1.0353884552722932,2014,10.416666666666666,Brazil
http://ufcstats.com/fight-details/4ead27d52c14697a,2014-05-24,"Las Vegas, Nevada, USA",Submission,2,0:57,3 Rnd (5-5-5),Jason Herzog,"D'Arce Choke From Bottom
      Technical Submission",Al Iaquinta,Mitch Clarke,"""Raging""","""Danger Zone""",L,W,0,0,13 of 19,8 of 21,31 of 40,20 of 34,13,19,31,40,8,21,20,34,0.6842105263157895,0.775,0.3809523809523809,0.5882352941176471,Mitch Clarke,57,357,Submission,0,1,5,11,-0.024092230255502722,-0.020304980246091665,2014,5.95,USA
http://ufcstats.com/fight-details/11d2b546c8533c0f,2014-05-24,"Las Vegas, Nevada, USA",Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,,Anthony Njokuani,Vinc Pichel,"""The Assassin""","""From Hell""",L,W,0,0,24 of 77,57 of 113,30 of 84,98 of 159,24,77,30,84,57,113,98,159,0.3116883116883117,0.3571428571428571,0.504424778761062,0.6163522012578616,Vinc Pichel,300,900,Decision,0,1,-33,-68,-0.03149830969618138,0.0035859331491754614,2014,15.0,USA
http://ufcstats.com/fight-details/c16454a3205506c6,2014-05-31,"Sao Paulo, Brazil",Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,,Vitor Miranda,Antonio Carlos Junior,"""Lex Luthor""","""Cara de Sapato""",L,W,0,0,21 of 47,19 of 70,103 of 136,33 of 85,21,47,103,136,19,70,33,85,0.4468085106382978,0.7573529411764706,0.2714285714285714,0.388235294117647,Antonio Carlos Junior,300,900,Decision,0,1,2,70,0.006730232105646424,0.009778760357032193,2014,15.0,Brazil
http://ufcstats.com/fight-details/b56fd6eb7d0b6083,2014-05-24,"Las Vegas, Nevada, USA",Decision - Split,3,5:00,3 Rnd (5-5-5),Mark Smith,,David Michaud,Li Jingliang,"""BullDawg""","""The Leech""",L,W,0,0,41 of 121,61 of 156,69 of 152,84 of 180,41,121,69,152,61,156,84,180,0.3388429752066115,0.4539473684210526,0.391025641025641,0.4666666666666667,Li Jingliang,300,900,Decision,0,1,-20,-15,-0.05249152790428633,0.009092716589992379,2014,15.0,USA
http://ufcstats.com/fight-details/f9a59f7c67fbce01,2014-05-24,"Las Vegas, Nevada, USA",Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Yves Lavigne,,Takeya Mizugaki,Francisco Rivera,,"""Cisco""",W,L,1,0,35 of 135,41 of 104,67 of 179,61 of 124,35,135,67,179,41,104,61,124,0.2592592592592592,0.3743016759776536,0.3942307692307692,0.4919354838709677,Takeya Mizugaki,300,900,Decision,1,0,-6,6,0.9419889704376911,0.001666312448328464,2014,15.0,USA
http://ufcstats.com/fight-details/2f6b63e8ec62e3ca,2014-05-24,"Las Vegas, Nevada, USA",Submission,3,3:53,3 Rnd (5-5-5),Yves Lavigne,"Rear Naked Choke
      Technical Submission",Daniel Cormier,Dan Henderson,"""DC""","""Hendo""",W,L,0,0,50 of 80,6 of 18,131 of 173,12 of 25,50,80,131,173,6,18,12,25,0.625,0.7572254335260116,0.3333333333333333,0.48,Daniel Cormier,233,833,Submission,1,0,44,119,-0.01108909581179315,0.1513413357963681,2014,13.883333333333333,USA
